Ciudad|Fecha|Temp Max (°C)|Temp Min (°C)|Precipitación (mm)|Nieve (mm)|Viento Máx (km/h)
A Coruña|2025-08-01|25.8|17.6|0.0|0.0|24.3
Albacete|2025-08-01|31.2|19.0|1.5|0.0|22.6
Alicante / Alacant|2025-08-01|29.1|22.5|0.0|0.0|16.8
Almería|2025-08-01|33.5|22.1|0.0|0.0|17.9
Ávila|2025-08-01|29.2|17.0|1.7|0.0|17.5
Badajoz|2025-08-01|38.3|22.5|0.0|0.0|21.9
Barcelona|2025-08-01|28.7|19.3|0.2|0.0|16.0
Bilbao|2025-08-01|24.4|17.4|0.1|0.0|13.2
Burgos|2025-08-01|25.5|11.8|0.0|0.0|23.3
Cáceres|2025-08-01|35.2|22.3|0.0|0.0|13.1
Cádiz|2025-08-01|33.7|21.4|0.0|0.0|24.0
Castellón de la Plana / Castelló de la Plana|2025-08-01|28.1|21.6|0.0|0.0|16.3
Ceuta|2025-08-01|26.5|21.9|0.2|0.0|26.7
Ciudad Real|2025-08-01|32.0|23.0|0.6|0.0|9.3
Córdoba|2025-08-01|37.8|23.3|0.0|0.0|10.1
Cuenca|2025-08-01|28.2|16.6|1.8|0.0|15.2
Girona|2025-08-01|30.0|19.3|4.4|0.0|12.4
Granada|2025-08-01|35.1|19.6|0.0|0.0|17.6
Guadalajara|2025-08-01|30.5|19.7|0.5|0.0|19.8
Huelva|2025-08-01|33.7|21.3|0.0|0.0|13.3
Huesca|2025-08-01|30.4|15.6|0.0|0.0|20.7
Jaén|2025-08-01|33.3|21.9|0.0|0.0|22.1
Las Palmas de Gran Canaria|2025-08-01|26.2|21.8|0.6|0.0|27.4
León|2025-08-01|30.4|13.0|0.0|0.0|19.6
Lleida|2025-08-01|33.3|20.6|0.0|0.0|19.1
Logroño|2025-08-01|28.4|15.4|0.0|0.0|17.8
Lugo|2025-08-01|23.7|13.3|0.0|0.0|23.9
Madrid|2025-08-01|32.4|22.1|1.3|0.0|17.7
Málaga|2025-08-01|28.9|22.7|0.0|0.0|13.7
Melilla|2025-08-01|26.9|22.5|0.0|0.0|16.8
Murcia|2025-08-01|32.1|20.8|0.0|0.0|13.9
Ourense|2025-08-01|32.4|14.4|0.0|0.0|17.2
Oviedo|2025-08-01|23.0|14.4|0.2|0.0|15.8
Palencia|2025-08-01|29.8|12.7|0.0|0.0|23.1
Palma|2025-08-01|30.2|19.5|0.0|0.0|19.0
Pamplona / Iruña|2025-08-01|24.1|14.7|0.0|0.0|20.2
Pontevedra|2025-08-01|31.1|17.5|0.0|0.0|23.5
Salamanca|2025-08-01|33.1|15.8|0.0|0.0|14.9
San Sebastián / Donostia|2025-08-01|21.7|17.9|2.6|0.0|14.2
Santa Cruz de Tenerife|2025-08-01|28.3|21.2|0.4|0.0|15.9
Santander|2025-08-01|23.3|15.7|0.8|0.0|14.4
Segovia|2025-08-01|30.2|18.2|0.1|0.0|19.1
Sevilla|2025-08-01|37.6|25.1|0.0|0.0|13.9
Soria|2025-08-01|27.9|9.6|1.7|0.0|15.0
Tarragona|2025-08-01|29.4|21.7|0.0|0.0|22.9
Teruel|2025-08-01|27.9|16.0|0.0|0.0|20.8
Toledo|2025-08-01|32.6|23.0|0.6|0.0|15.7
Valencia|2025-08-01|29.2|22.7|0.0|0.0|15.7
Valladolid|2025-08-01|31.5|14.1|0.0|0.0|21.2
Vitoria-Gasteiz|2025-08-01|23.8|13.5|0.0|0.0|17.6
Zamora|2025-08-01|32.9|15.2|0.0|0.0|15.2
Zaragoza|2025-08-01|32.2|17.7|0.0|0.0|20.9
